Number of terms: 265803
Number of unique terms: 18434


| -------------------------------------------------- | -------------------------------------------------- |
| Term                                               | Frequency                                          |
| -------------------------------------------------- | -------------------------------------------------- |
| downtown                                           | 3                                                  |
| laboring                                           | 6                                                  |
| awakes                                             | 3                                                  |
| model                                              | 6                                                  |
| joiner                                             | 1                                                  |
| befriend                                           | 1                                                  |
| scented                                            | 6                                                  |
| colt                                               | 3                                                  |
| murdered                                           | 5                                                  |
| oboe                                               | 1                                                  |
| captures                                           | 1                                                  |
| binary                                             | 4                                                  |
| probably                                           | 21                                                 |
| kneeling                                           | 2                                                  |
| saturday                                           | 14                                                 |
| antelope                                           | 2                                                  |
| alembic                                            | 1                                                  |
| moods                                              | 2                                                  |
| reasoning                                          | 2                                                  |
| fraid                                              | 1                                                  |
| bare-bosom                                         | 1                                                  |
| burying                                            | 4                                                  |
| presence                                           | 10                                                 |
| tom                                                | 817                                                |
| balmy                                              | 1                                                  |
| aunt                                               | 87                                                 |
| passing                                            | 53                                                 |
| creeping                                           | 6                                                  |
| rose                                               | 34                                                 |
| ebbs                                               | 1                                                  |
| ennuis                                             | 1                                                  |
| worry                                              | 8                                                  |
| hunchbacks                                         | 1                                                  |
| gen'ally                                           | 1                                                  |
| befalls                                            | 1                                                  |
| collar                                             | 7                                                  |
| 23                                                 | 1                                                  |
| happens                                            | 9                                                  |
| punched                                            | 1                                                  |
| losses                                             | 4                                                  |
| fig                                                | 2                                                  |
| relief                                             | 12                                                 |
| auction-stand                                      | 1                                                  |
| sentimental                                        | 1                                                  |
| closet                                             | 6                                                  |
| gutta-percha                                       | 1                                                  |
| gallop                                             | 1                                                  |
| muffled                                            | 12                                                 |
| dotted                                             | 1                                                  |
| dense-starr                                        | 1                                                  |
| sash                                               | 4                                                  |
| spell                                              | 4                                                  |
| analogies                                          | 2                                                  |
| drover                                             | 1                                                  |
| louts                                              | 1                                                  |
| arthur                                             | 2                                                  |
| peach                                              | 1                                                  |
| dangerous                                          | 8                                                  |
| sharp-tooth                                        | 1                                                  |
| certify                                            | 1                                                  |
| impressively                                       | 1                                                  |
| car                                                | 1                                                  |
| secondary                                          | 1                                                  |
| nonpareil                                          | 1                                                  |
| lag'd'st                                           | 1                                                  |
| duck                                               | 4                                                  |
| degrees                                            | 1                                                  |
| flesh                                              | 27                                                 |
| entombed                                           | 1                                                  |
| oppress                                            | 1                                                  |
| arctic                                             | 10                                                 |
| lifted                                             | 23                                                 |
| astronomy                                          | 2                                                  |
| market-man                                         | 1                                                  |
| moral                                              | 16                                                 |
| this                                               | 1010                                               |
| receiving                                          | 9                                                  |
| wrath                                              | 5                                                  |
| whispered                                          | 34                                                 |
| picked                                             | 11                                                 |
| accrue                                             | 1                                                  |
| sons                                               | 25                                                 |
| pillars                                            | 2                                                  |
| limitation                                         | 12                                                 |
| apples                                             | 14                                                 |
| rose-garden                                        | 1                                                  |
| hams                                               | 1                                                  |
| curves                                             | 3                                                  |
| complaints                                         | 4                                                  |
| wisconsinese                                       | 1                                                  |
| deemed                                             | 1                                                  |
| sandy                                              | 3                                                  |
| underlie                                           | 2                                                  |
| earliest                                           | 2                                                  |
| parturient                                         | 1                                                  |
| pennants                                           | 10                                                 |
| death-chant                                        | 1                                                  |
| interspers                                         | 2                                                  |
| deliberate                                         | 1                                                  |
| behaved                                            | 2                                                  |
| it                                                 | 3124                                               |
| circumference                                      | 1                                                  |
| nomination                                         | 1                                                  |
| sufficed                                           | 1                                                  |
| injun                                              | 74                                                 |
| sophocles                                          | 1                                                  |
| beguiled                                           | 2                                                  |
| novelty                                            | 1                                                  |
| mortar-boards                                      | 1                                                  |
| leadings                                           | 1                                                  |
| discouragement                                     | 1                                                  |
| road                                               | 30                                                 |
| adhere                                             | 3                                                  |
| salutes                                            | 5                                                  |
| massacred                                          | 1                                                  |
| rosy-flashing                                      | 1                                                  |
| spool                                              | 1                                                  |
| return                                             | 82                                                 |
| character                                          | 12                                                 |
| gleam                                              | 4                                                  |
| lath                                               | 3                                                  |
| pell-mell                                          | 2                                                  |
| jerking                                            | 1                                                  |
| laborious                                          | 1                                                  |
| weigh                                              | 2                                                  |
| properly                                           | 5                                                  |
| landslide                                          | 1                                                  |
| sacs                                               | 1                                                  |
| apprentice                                         | 1                                                  |
| touching                                           | 8                                                  |
| post                                               | 1                                                  |
| excusal                                            | 1                                                  |
| ground                                             | 91                                                 |
| chansonnier                                        | 1                                                  |
| flattered                                          | 1                                                  |
| buckle                                             | 1                                                  |
| est                                                | 1                                                  |
| fertilizers                                        | 1                                                  |
| er                                                 | 1                                                  |
| alive                                              | 27                                                 |
| relentless                                         | 4                                                  |
| stander                                            | 1                                                  |
| multitudes                                         | 2                                                  |
| prophesying                                        | 1                                                  |
| luscious                                           | 1                                                  |
| smooth                                             | 5                                                  |
| crooked                                            | 2                                                  |
| mauls                                              | 1                                                  |
| strong-brawn                                       | 1                                                  |
| solemnities                                        | 2                                                  |
| utah                                               | 1                                                  |
| repeat                                             | 10                                                 |
| unsurpass                                          | 2                                                  |
| teff-wheat                                         | 1                                                  |
| deep                                               | 57                                                 |
| upstreet                                           | 1                                                  |
| gospels                                            | 3                                                  |
| disappointment                                     | 7                                                  |
| compliments                                        | 3                                                  |
| chief                                              | 46                                                 |
| pew                                                | 4                                                  |
| narrate                                            | 1                                                  |
| flower-pots                                        | 2                                                  |
| reflect                                            | 1                                                  |
| meat                                               | 14                                                 |
| tussled                                            | 1                                                  |
| publish                                            | 4                                                  |
| rejoices                                           | 1                                                  |
| swag                                               | 3                                                  |
| lazy                                               | 5                                                  |
| mystical                                           | 4                                                  |
| critically                                         | 1                                                  |
| swollen                                            | 2                                                  |
| supper-fires                                       | 1                                                  |
| depriving                                          | 1                                                  |
| overflowings                                       | 1                                                  |
| dreamt                                             | 3                                                  |
| he'd                                               | 2                                                  |
| hum                                                | 9                                                  |
| seminal                                            | 2                                                  |
| nation                                             | 18                                                 |
| mean-time                                          | 1                                                  |
| conversing                                         | 1                                                  |
| prudence                                           | 9                                                  |
| dressed                                            | 22                                                 |
| mellower                                           | 1                                                  |
| sponger                                            | 1                                                  |
| cigarettes                                         | 1                                                  |
| museum                                             | 1                                                  |
| feb                                                | 1                                                  |
| chickadee                                          | 1                                                  |
| strove                                             | 1                                                  |
| 1854                                               | 1                                                  |
| clustering                                         | 3                                                  |
| values                                             | 1                                                  |
| burnish'd                                          | 1                                                  |
| distance                                           | 44                                                 |
| harder                                             | 9                                                  |
| wary                                               | 2                                                  |
| derivative                                         | 12                                                 |
| momentary                                          | 1                                                  |
| swells                                             | 2                                                  |
| undulations                                        | 1                                                  |
| riverson                                           | 1                                                  |
| egyptian                                           | 2                                                  |
| ferrets                                            | 2                                                  |
| parsnips                                           | 1                                                  |
| amicable                                           | 1                                                  |
| penetrates                                         | 1                                                  |
| ghastly                                            | 9                                                  |
| hesitatingly                                       | 3                                                  |
| ampler                                             | 2                                                  |
| incalculable                                       | 5                                                  |
| a-swimming                                         | 4                                                  |
| universal                                          | 15                                                 |
| brand                                              | 1                                                  |
| intrepid                                           | 5                                                  |
| assisting                                          | 1                                                  |
| roll                                               | 19                                                 |
| dosing                                             | 1                                                  |
